Theta1,Theta2,Omega1,Omega2
37,-66,-3.4668355328838776,33.26110655158433
37,-67,-3.230691391613204,32.79970545038881
37,-68,-2.998020809026822,32.35403344755986
37,-69,-2.768608972137794,31.92348431054868
37,-70,-2.542250962608972,31.507489542584583
37,-71,-2.3187509568655327,31.10551586590394
37,-72,-2.0979214871712863,30.717062922567692
37,-73,-1.879582757458089,30.34166117250936
38,-39,-12.683081873589648,56.03307740355024
38,-40,-12.191051340054418,54.63280928281769
38,-41,-11.719074225054092,53.302277768341106
38,-42,-11.265678372742551,52.03654713837265
38,-43,-10.829527114858923,50.83114256804484
38,-44,-10.409403831151835,49.681997812704935
38,-45,-10.004198566352212,48.585409869608355
38,-46,-9.612896390642481,47.53799955618417
38,-47,-9.234567243849598,46.536677123822884
38,-48,-8.868357046878288,45.5786121729881
38,-49,-8.513479899238803,44.66120725533092
38,-50,-8.169211210499675,43.78207464678773
38,-51,-7.834881637358698,42.93901585659571
38,-52,-7.509871717757,42.13000350410422
38,-53,-7.193607109842242,41.353165250836994
38,-54,-6.885554357236482,40.60676952157432
38,-55,-6.585217113480569,39.88921278696132
38,-56,-6.292132768107151,39.19900821266036
38,-57,-6.005869424861558,38.53477550744486
38,-58,-5.726023189404596,37.89523182576406
38,-59,-5.452215729605522,37.27918359991204
38,-60,-5.184092076440918,36.6855191935997
38,-61,-4.921318637697828,36.11320228293506
38,-62,-4.663581400253808,35.5612658829639
38,-63,-4.410584299769556,35.02880694833459
38,-64,-4.1620477392608946,34.51498148560093
38,-65,-3.917707240282486,34.01900012238843
38,-66,-3.677312212411324,33.54012408531152
38,-67,-3.440624828409629,33.07766154429809
38,-68,-3.2074189939129862,32.630964285984696
38,-69,-2.977479401763425,32.199424683202196
38,-70,-2.7506006622151182,31.782472931369586
38,-71,-2.526586501206809,31.379574525933254
38,-72,-2.3052490197382225,30.990227957895275
38,-73,-2.0864080081255962,30.613962607025876
38,-74,-1.8698903095568928,30.250336814598985
39,-39,-12.91036512413088,56.34665234097178
39,-40,-12.417355163857156,54.943596872818645
39,-41,-11.944438540076618,53.61041682730004
39,-42,-11.490140166497385,52.34216665771318
39,-43,-11.053120714111827,51.134362631688205
39,-44,-10.632161140887163,49.98293041038214
39,-45,-10.226149282098195,48.88415961992271
39,-46,-9.834068187627135,47.8346643512016
39,-47,-9.454985945940614,46.83134870521381
39,-48,-9.08804677782956,45.87137664828275
39,-49,-8.732463218405465,44.95214556162765
39,-50,-8.387509234880765,44.07126296822621
39,-51,-8.052514151571039,43.22652600104118
39,-52,-7.726857273327888,42.41590324375611
39,-53,-7.4099631150248575,41.63751863085291
39,-54,-7.101297158395759,40.88963714027075
39,-55,-6.8003620689635165,40.170652050699346
39,-56,-6.506694315397051,39.47907356813654
39,-57,-6.219861141717139,38.813518653774
39,-58,-5.939457849600092,38.17270190845267
39,-59,-5.665105353814332,37.55542738857322
39,-60,-5.396447978741775,36.96058124504417
